name,mass,quantity,price,proteins,fats,carbohydrates,calories,link
"Суп «Куриный» с домашней лапшой, 1 кг",1000.0,16,420,,,,,https://rtw.vkusvill.ru/goods/sup-kurinyy-s-domashney-lapshoy-1-kg-44285.html
"Салат «Оливье» с креветками и красной икрой, 500 г",500.0,4,788,9.6,9.2,9.2,158,https://rtw.vkusvill.ru/goods/salat-olive-s-krevetkami-i-krasnoy-ikroy-500-g-85553.html
Борщ с говяжьим языком,390.0,0,318,2.4,1.8,6,49.8,https://rtw.vkusvill.ru/goods/borshch-s-govyazhim-yazykom-71645.html
Ролл нори с лососем и томатами,180.0,0,246,,,,,https://rtw.vkusvill.ru/goods/roll-nori-s-lososem-i-tomatami-30144.html
"Блины с творогом, 210 г",210.0,8,176,8.3,12,27.8,252.4,https://rtw.vkusvill.ru/goods/bliny-s-tvorogom-210-g-16943.html
"Блины домашние, 1 кг",1000.0,6,450,,,,,https://rtw.vkusvill.ru/goods/bliny-domashnie-1-kg-43112.html
Злаковая каша с ягодами,315.0,0,305,3.28,3.28,11.13,83,https://rtw.vkusvill.ru/goods/zlakovaya-kasha-s-yagodami-61033.html
Филе семги на пару,170.0,0,550,,,,,https://rtw.vkusvill.ru/goods/file-semgi-na-paru-75129.html
Ролл с огурцом,198.0,4,230,,,,,https://rtw.vkusvill.ru/goods/roll-s-ogurtsom-61150.html
"Гречка отварная с овощами, 200 грамм",200.0,0,110,4.1,4.7,23,150.7,https://rtw.vkusvill.ru/goods/grechka-otvarnaya-s-ovoshchami-200-gramm-64220.html
"Чебуреки с сыром, 140 г",140.0,0,205,15.2,20.3,18.7,318.3,https://rtw.vkusvill.ru/goods/chebureki-s-syrom-140-g-68197.html
Холодец говяжий 700г,700.0,5,508,5.5,2.7,0.9,49.9,https://rtw.vkusvill.ru/goods/kholodets-govyazhiy-700g-69324.html
Каша гречневая сливочная,250.0,0,146,3.1,7,14.3,132.6,https://rtw.vkusvill.ru/goods/kasha-grechnevaya-slivochnaya-81476.html
Блины постные с картофелем и грибами,200.0,4,152,,,,,https://rtw.vkusvill.ru/goods/bliny-postnye-s-kartofelem-i-gribami-24849.html
Курица с булгуром и овощами пастеризованная_РП,250.0,0,235,5.3,2.2,15.3,102.2,https://rtw.vkusvill.ru/goods/kuritsa-s-bulgurom-i-ovoshchami-pasterizovannaya-rp-83277.html
Деревенский завтрак,340.0,0,440,6.9,12,7.8,168,https://rtw.vkusvill.ru/goods/derevenskiy-zavtrak-65057.html
Микро пельмени с индейкой и сметаной,255.0,0,163,9.1,11,23.3,227,https://rtw.vkusvill.ru/goods/mikro-pelmeni-s-indeykoy-i-smetanoy-84420.html
Запеканка творожная без доб. сахара с манго и семенами чиа,220.0,8,188,11.8,9,16.8,195.4,https://rtw.vkusvill.ru/goods/zapekanka-tvorozhnaya-bez-dob-sakhara-s-mango-i-semenami-chia-53298.html
Макароны «Бантики» с котлетами и томатным соусом,300.0,0,334,10.8,8.3,23.9,212,https://rtw.vkusvill.ru/goods/makarony-bantiki-s-kotletami-i-tomatnym-sousom-84418.html
Салат с креветками и соусом Спайси_РП,170.0,0,210,4.8,7.4,12,133.8,https://rtw.vkusvill.ru/goods/salat-s-krevetkami-i-sousom-spaysi-rp-83087.html
"Каша молочная овсяная, 580 г",580.0,0,270,2.8,3.1,12.3,88.3,https://rtw.vkusvill.ru/goods/kasha-molochnaya-ovsyanaya-580-g-78783.html
Куриная грудка с гречкой и томатным соусом,245.0,0,340,13.27,5.28,17.28,165,https://rtw.vkusvill.ru/goods/kurinaya-grudka-s-grechkoy-i-tomatnym-sousom-59005.html
Спагетти с фрикадельками из индейки в томатном соусе,200.0,0,210,8.5,10.4,22.4,217.2,https://rtw.vkusvill.ru/goods/spagetti-s-frikadelkami-iz-indeyki-v-tomatnom-souse-76461.html
Салат с мясом индейки и гранатовым соусом,165.0,2,270,12.8,4.6,10,132.6,https://rtw.vkusvill.ru/goods/salat-s-myasom-indeyki-i-granatovym-sousom-47413.html
"Хачапури по-мегрельски, зам., 450 г",450.0,7,398,15.7,14.8,21.1,280.4,https://rtw.vkusvill.ru/goods/khachapuri-po-megrelski-zam-450-g-80922.html
Пельмени отварные с курицей,200.0,2,196,10,5.8,32.1,220.6,https://rtw.vkusvill.ru/goods/pelmeni-otvarnye-s-kuritsey-68684.html
Сэндвич прованский с индейкой и пикантным соусом,200.0,2,228,10.2,9.1,28.8,237.9,https://rtw.vkusvill.ru/goods/sendvich-provanskiy-s-indeykoy-i-pikantnym-sousom-71617.html
Тальятелле с курицей в сырном соусе,240.0,19,268,10.4,6.1,21.7,183.3,https://rtw.vkusvill.ru/goods/talyatelle-s-kuritsey-v-syrnom-souse-24027.html
Комбо-завтрак (мини-сырники + сэндвич),330.0,0,350,51,39,91,917,https://rtw.vkusvill.ru/goods/kombo-zavtrak-mini-syrniki-sendvich-84278.html
Запечённый мини картофель с соусом «Тысяча островов»,180.0,0,190,,,,,https://rtw.vkusvill.ru/goods/zapechyennyy-mini-kartofel-s-sousom-tysyacha-ostrovov-84959.html
"Запеканка картофельная с мясом, 600 г",600.0,4,470,6.2,8.7,11.4,148.7,https://rtw.vkusvill.ru/goods/zapekanka-kartofelnaya-s-myasom-600-g-48191.html
Каша овсяная пастеризованная_РП,250.0,0,157,3.6,8.4,10.1,130.4,https://rtw.vkusvill.ru/goods/kasha-ovsyanaya-pasterizovannaya-rp-80597.html
Курица с овощами и гречкой пастеризованная_РП,250.0,0,199,11.7,5,17.1,160.1,https://rtw.vkusvill.ru/goods/kuritsa-s-ovoshchami-i-grechkoy-pasterizovannaya-rp-66169.html
Куриное филе на гриле и гречка с вешенками,220.0,2,258,14.4,2.8,13.7,137.6,https://rtw.vkusvill.ru/goods/kurinoe-file-na-grile-i-grechka-s-veshenkami-70126.html
Филе индейки «Гриль» с пастой птитим со шпинатом и овощами,170.0,2,310,13.2,5.7,10.4,145.7,https://rtw.vkusvill.ru/goods/file-indeyki-gril-s-pastoy-ptitim-so-shpinatom-i-ovoshchami-48167.html
Бутерброд с ветчиной и сыром,180.0,4,176,10.6,8.7,30.9,244.3,https://rtw.vkusvill.ru/goods/buterbrod-s-vetchinoy-i-syrom-74321.html
Бургер «Сочная цыпа»,290.0,0,395,15.4,21.8,15.9,322,https://rtw.vkusvill.ru/goods/burger-sochnaya-tsypa-64468.html
Запеканка творожная с манго,150.0,0,188,7.8,11.8,15.8,200.6,https://rtw.vkusvill.ru/goods/zapekanka-tvorozhnaya-s-mango-53876.html
Бургер «Богатырь»,315.0,0,435,10.6,25.1,14.1,325,https://rtw.vkusvill.ru/goods/burger-bogatyr-60795.html
"Блины пшеничные, 500 г_РП",500.0,0,229,4.3,13.2,34.9,275.6,https://rtw.vkusvill.ru/goods/bliny-pshenichnye-500-g-rp-80547.html
Картофельная вафля с беконом и яйцом,220.0,0,365,7.7,14.8,17.6,234,https://rtw.vkusvill.ru/goods/kartofelnaya-vaflya-s-bekonom-i-yaytsom-53919.html
Блины с мясом,210.0,4,222,11,19.9,25.6,325.5,https://rtw.vkusvill.ru/goods/bliny-s-myasom-19347.html
"Грибы древесные черные моэр маринованные, 210 г",210.0,4,240,0.7,15.5,10.1,182.7,https://rtw.vkusvill.ru/goods/griby-drevesnye-chernye-moer-marinovannye-210-g-78499.html
Оладьи куриные со спагетти и томатным соусом,200.0,0,228,10.1,8.7,17.8,189.9,https://rtw.vkusvill.ru/goods/oladi-kurinye-so-spagetti-i-tomatnym-sousom-74323.html
Комбо: Суп-пюре из цветной капусты с сыром + Котлета куриная «Солнышко» с картофельным пюре,550.0,0,487,,,,,https://rtw.vkusvill.ru/goods/kombo-sup-pyure-iz-tsvetnoy-kapusty-s-syrom-kotleta-kurinaya-solnyshko-s-kartofelnym-pyure-71205.html
