name,price,quantity
"Азу из говядины с гречкой, 500 г",390,183
Азу по-татарски с картофельным пюре,270,1120
Ассорти роллов «Киото»,378,44
Баклажаны по-сычуаньски,198,1322
"Беляши с мясом, 320 г",330,878
Бефстроганов из говядины с гречкой отварной,282,290
Бефстроганов из говядины с картофельным пюре,292,1160
"Бефстроганов из говядины с картофельным пюре, 350 г",390,300
"Бефстроганов из говядины с картофельным пюре, 800 г",830,180
"Бефстроганов из говяжьей вырезки с пюре, моченой брусникой и луковыми чипсами",498,260
Биточек из говядины с капустой и картофельным пюре,198,600
Биточек куриный с капустой и картофельным пюре,198,3690
Биточек сочный с пенне,198,780
"Биточки из курицы и капусты, 480 г",430,450
Биточки морковные,155,550
Бифштекс из говядины с картофелем,288,860
"Бифштекс из говядины с картофелем, 500 г",480,300
Блин сырный по-голландски,188,750
Блин-омлет с куриным филе,186,700
Блинчики «Цезарь»,216,600
"Блинчики с творогом, 400 г",252,552
"Блины домашние, 1 кг",450,560
"Блины домашние, 200 грамм",114,300
"Блины овсяные, 6 шт",220,1638
Блины постные с картофелем и грибами,152,360
Блины пшеничные,154,1740
Блины с «Крем чиз» и вишней,176,600
Блины с вареной сгущенкой,158,580
Блины с ветчиной (из свинины) и с сыром,188,2081
"Блины с ветчиной (из свинины) и с сыром, 210 грамм",188,160
Блины с вишней,196,480
"Блины с вишней, 210 грамм",196,100
"Блины с заварным кремом, мягким сыром и клубникой",166,262
Блины с карамельно-банановой начинкой,188,602
Блины с курицей в сливочном соусе,196,830
"Блины с курицей в сливочном соусе, 160 грамм",196,100
Блины с мясом,222,2364
"Блины с мясом, 210 грамм",222,200
"Блины с мясом, 7 шт",431,1628
Блины с начинкой жюльен,248,600
"Блины с семгой, 150 г",313,424
"Блины с творогом, 210 г",176,1995
"Блины с творогом, 210 грамм",176,220
"Блины с шоколадной пастой, фундуком и изюмом",186,260
"Блины с яблоком, 210 г",176,1912
Блины шоколадные с маскарпоне и вишней,197,660
Борщ «Вегетарианский»,155,2596
"Борщ «Вегетарианский», 1 кг",390,500
"Борщ «Вегетарианский», 390 грамм",155,242
Борщ «Украинский»,178,3368
"Борщ «Украинский» с курицей, 1 кг",430,976
"Борщ «Украинский» с курицей, 3 кг",1 090,80
Борщ с говядиной,198,4793
"Борщ с говядиной, 1 кг",452,1015
Бризоль из рыбы с рисом басмати,208,580
Булгур с овощами,166,380
Булочка паровая «Бань Бао» с грибами,160,300
Бургер с растительным «мясом»,268,200
Бургеры с куриной котлетой и сыром Чеддер,208,798
Бутерброд с ветчиной и сыром,176,640
Бутерброд с тунцом и базиликом,132,1043
Вареники постные с картофелем и грибами,230,330
"Ватрушка «Шпинат и лосось», кафе",160,0
Вертута с капустой,177,650
Вок рамен с курицей в апельсиново-имбирном соусе,320,1202
Вок с креветкой в соево-чесночном соусе,348,250
Вок фунчоза с креветками,288,1140
Говядина «Бургиньон» с макаронами «Орзо»,348,562
Говядина томленая в гранатовом соке с картофельным пюре и фасолью,298,740
"Говядина томленая, 350 г",498,39
Говядина тушеная по-домашнему с картофельным пюре,238,380
Голубцы ленивые в сметанном соусе,198,1260
Голубцы ленивые из мяса птицы,198,620
"Голубцы ленивые из мяса птицы, 200 грамм",198,280
"Голубцы ленивые из мяса птицы, 600 г",480,460
"Гречка отварная с овощами, 200 г",110,602
"Гречка отварная с овощами, 200 грамм",110,100
Гречка по-купечески,206,1080
Гречка с котлетами из индейки,250,982
Гречневая лапша с индейкой,292,282
"Гречневая лапша с овощами, 200 грамм",158,58
Грудка куриная с картофелем по-деревенски,248,1440
Грузинский суп из фасоли с овощами,188,496
Гуляш из говядины с гречкой,258,270
Долма по-восточному с говядиной и курицей,258,400
"Драники картофельные, 200 г",188,520
"Драники картофельные, 200 грамм",188,140
"Драники овощные, 200 грамм",182,138
Ежики мясные с отварной гречкой,210,960
Жюльен «Грибной» с шампиньонами и белыми грибами,153,644
Закуска из баклажанов,178,690
Закуска фава «Классическая»,101,3682
Заливное из говяжьего языка,297,324
Заливное из индейки,275,140
Заливное из филе радужной форели,198,144
Заливное с говядиной и овощами,245,600
"Запеканка из творожного сыра рикотта с апельсином, 100 г",116,2
Запеканка картофельная с мясом,312,820
"Запеканка картофельная с мясом, 600 г",470,330
Запеканка классическая,600,319
Запеканка с манго,178,421
"Запеканка творож. с черной смород., 100 г",92,1868
Запеканка творожная «Айва-банан» без доб. сахара,186,80
"Запеканка творожная «Нежная», кафе",160,0
Запеканка творожная без доб. сахара с манго и семенами чиа,188,350
Запеканка творожная без доб. сахара с мягким сыром «Рикотта»,186,660
Запеканка творожная с вишней без доб. сахара,196,310
Запеканка творожная с грушей,206,942
Запеканка творожная с манго,188,200
Запеканка творожная с персиковым наполнителем,188,200
"Запеканка творожная с тыквой, цедрой апельсина и корицей",178,441
Запеканка творожная с черникой,206,1360
Запеканка творожная с чёрной смородиной,237,360
Запеканка творожная с яблоком,188,120
"Запеканка творожная, 250 г",176,2038
Кальмар «Гриль» с рисом,311,920
"Капуста квашеная, 300 г",111,7514
"Картоф. пюре, капуста по-баварски, с колбасками по-нюрнбергски и горч. соусом",320,622
Картофель беби жареный с вешенками,168,460
Картофель жареный со свининой,248,842
Картофель жареный со свининой и грибами в сметанном соусе,288,1500
Картофель запеченный с прованскими травами,198,560
"Картофель отварной с укропом, 500 г",220,400
Картофельная запеканка с грибами постная,248,250
"Картофельное пюре, 500 г",242,1452
Каша гречневая сливочная,146,460
"Каша молочная овсяная, 580 г",270,122
"Каша овсяная молочная с яблоком и корицей, 215 г",138,1000
Каша овсяная на молоке,146,200
Каша овсяная цельнозерновая на воде,106,120
"Каша овсяная, 250 г",98,220
"Каша пшенная молочная с тыквой, 250 г",166,724
"Каша пшенная молочная с тыквой, 580 г",270,140
"Каша пшенная сливочная, 250 г",178,900
"Каша рисовая безмолочная на кокосе, 250 г",178,800
"Каша рисовая молочная, 250 г",180,1106
"Каша рисовая на кокос молоке с с/фрукт, кафе",180,0
Каша рисовая с манговым топингом,182,420
Кесадилья с ветчиной из индейки и сыром,298,718
"Кета жареная филе, 200 г",285,300
Киш «Сыр с овощами»,193,598
Киш с индейкой и овощами,218,152
"Киш с курицей и грибами, кафе",185,0
Клаб-сэндвич с курицей и яйцом,188,1726
"Конвертики с курицей, сыром и томатами с зеленью",270,2002
Конвертики с творогом и зеленью,202,454
"Корюшка жареная, 250 г",278,1406
Котлета Домашняя с макаронами,208,1262
Котлета из птицы с брокколи и соусом,208,480
Котлета куриная на пару фаршированная брокколи,228,390
Котлета куриная с карт. пюре и овощами,210,722
Котлета куриная с картофельным пюре,238,3028
"Котлета куриная с картофельным пюре, 400 г",370,570
Котлета куриная с фарфалле,188,1440
Котлета Нежная со сливочным маслом и картофельным пюре,210,2232
Котлета Пожарская с картофельным пюре,236,1580
Котлета рыбная с картофельным пюре,250,640
Котлетки рыбные с запеченными овощами,250,508
Котлеты Домашние с картофельным пюре,270,544
"Котлеты из свинины и говядины, 300 г",420,1100
Котлеты куриные,390,450
"Котлеты куриные с моцареллой с булгуром, киноа и овощами",278,1590
"Котлеты мясные Домашние с макаронами, 500 г",390,180
Котлеты По-киевски с маслом и зеленью,510,362
Креветки в зеленом соусе с лимонным соком,502,120
Креветки запеченные,510,120
Креветки с рисом и соусом «карри»,348,180
Крем-суп с тыквой и индейкой,196,3448
Куриная грудка с грибами и пенне,286,1531
Куриная котлета-гриль,271,321
Куриное филе запеченное с овощами,296,1145
"Куриное филе запеченное с овощами, 210 грамм",296,280
Куриное филе на гриле и гречка с вешенками,258,380
"Куриные кармашки с мини картофелем с розмарином, 600 г",440,82
Куриный кармашек с картофелем и розмарином,270,400
Курица в сливочном соусе с гречкой,246,800
Кускус с овощами,180,650
Кускус с овощами и котлетами из индейки,250,500
Кутабы с зеленью,181,224
Кутабы с курицей,202,200
Кутабы с сыром и помидорами,190,800
"Кутабы с сыром, творогом и зеленью",196,440
"Кутабы с сыром, творогом и зеленью, 275 г",303,130
Лазанья мясная,342,1380
Лапша рисовая с морепродуктами,238,350
Лапша удон «Овощи и курица»,248,598
"Лапша удон «Овощи и курица», 200 грамм",248,100
Лепешка «Индийская» с картофелем и карри (постная),150,700
Лепешка с зеленью,216,627
"Лепешка с зеленью и сыром, 2 шт",242,697
"Лепешка с зеленью, грибами и сыром",242,198
Лепешка с курицей и овощами,230,211
Лепешка с сыром и зеленью,221,397
"Лепешка с сыром сулугуни на гриле, кафе",140,0
Лепешка с творогом и зеленью,150,128
Люля кебаб из баранины с красным ткемали и печеной картошкой,260,400
Макароны с курицей и грибами,208,680
Манты по-восточному,268,780
Мимоза с семгой горячего копчения,292,600
Мини сырники фигурные,155,684
Мини-сырники,155,282
"Минтай жареный филе, 200 г",198,1500
"Молоки лососевых рыб жареные, 200 г",145,1000
Морковь по-корейски,105,1503
"Морковь по-корейски, 500 г",145,664
Мясо «под шубой» с картофелем,312,580
Мясо по-французски с печеным картофелем,286,2284
"Мясо по-французски с печеным картофелем, 250 грамм",286,300
"Мясо по-французски с печеным картофелем, 450 г",490,380
Набор онигири «С тунцом + Филадельфия» с соевым соусом,378,260
"Набор роллов «Нокогири» (из 7 видов роллов), 805 г",1 550,100
Набор роллов «Норикура» (из 4 видов роллов),980,160
"Набор роллов «Сэтто» с форелью, с креветкой, с огурцом и роллами «Филадельфия»",1 520,80
Набор: Салат Витаминный + Плов с курицей,310,510
"Огурцы «битые» по-корейски, 200 г",123,200
Оладьи куриные,230,1143
Оладьи куриные со спагетти и томатным соусом,228,940
"Оладьи куриные, 320 г",310,350
Оладьи печеночные,228,100
Оладьи печеночные с картофельным пюре,238,682
"Оладьи печеночные, 150 грамм",228,40
"Оладьи печеночные, 300 г",378,802
"Оладьи с яблоком, 330 г",305,748
"Омлет белковый с куриным филе, овощами и мягким сыром",270,300
Омлет запеченный с муссом из филе лосося,198,500
Омлет с курицей и сыром,172,786
Омлет с сыром «Моцарелла»,178,800
Омлет с сыром и шпинатом,198,542
Онигирадзу с курицей и соевым соусом,188,700
Онигири «Говядина по-корейски»,188,300
Онигири «Филадельфия»,206,1124
"Онигири ( с филе тунца, с филе форели) с соевым соусом, 2 шт",378,200
Онигири с крабом,198,760
Онигири с креветками «Эби Чили»,188,500
Онигири с креветкой,176,2228
Онигири с курицей «Терияки»,140,924
Онигири с тунцом в майонезе,168,2476
Онигири с угрем в соусе Спайси-Унаги,188,566
Онигири с угрем в соусе унаги,188,1024
Онигири с форелью,186,140
Паровая булочка с курицей,220,220
Паста «Болоньезе»,280,490
Паста «Карбонара»,278,620
Паста «Орзо» с запеченной курицей,198,960
Паста «Орзо» с лососем в томатно-сливочном соусе,357,300
Паста «Фузилли» с сыром,206,150
Паста Орзо с креветками,228,1060
Паста с курицей гриль и сливочно-томатным соусом,246,980
Паста с лососем в сливочном соусе,278,3050
Паста Соба с креветками и соусом Терияки,448,500
Пельмени отварные с курицей,196,500
Пенне с грибами и овощами,160,380
"Перец фаршированный с куриным фаршем, 900 г",610,360
Печеное яблоко с брусникой,168,280
"Пирог осетинский «Картофель с сыром», 250 г",190,404
"Пирог осетинский «Мясо и картошка», 250 г",255,998
"Пирог осетинский «Сыр и шпинат», 250 г",217,20
"Пирог осетинский с картофелем и сыром, 500 г",344,160
"Пирог осетинский с сыром, 250 г",221,80
Пирог с зеленью и яйцом,272,290
"Пирог с семгой, брокколи и брынзой",258,660
Пироги «По-корейски» с мясом,223,100
"Пирожки «Курица, томат, сыр», 2 шт",136,310
"Пирожки жареные с картошкой, сыром и укропом",167,518
"Пирожки постные с вишней, 90 г, (2 шт)",102,518
"Пирожки постные с капустой и зеленью, 140 г (2 шт)",140,486
"Пирожки постные с яблоками, 90 г, (2 шт)",104,540
"Пирожки с вишней, 130 г",164,188
"Пирожки с зеленью и яйцом на сметанном тесте, 120 г (2шт)",117,320
"Пирожки с капустной начинкой, 160 г (4 шт)",163,320
"Пирожки с капустой и яйцом, 140 г (2 шт)",143,270
"Пирожки с мясом, 140 г (2 шт)",190,214
"Пирожки с рисом, яйцом и зеленым луком",130,465
"Пирожки с яйцом и зеленью, 6 шт",273,422
Пирожки слоеные с капустой,163,164
Пирожок с капустой,141,500
"Пирожок с мясом 45г, кафе",70,0
"Пицца «Маргарита», 350 г",370,552
"Пицца «Пепперони Салями», охлажденная",410,344
"Пицца «Чикен Песто», охлажденная",410,2255
"Пицца 4 сыра, охлажденная",390,1272
Пицца с ветчиной куриной и сыром (мини),130,420
Плов «Постный»,208,40
"Плов «Узбекский» с говядиной, 500 г",390,600
Плов с курицей,218,3324
"Плов с курицей, 600 г",370,2234
Плов с овощами и нутом,160,700
Поке с креветкой,368,160
"Пончики с ветчиной и сыром, 2 шт",159,270
Похлебка грибная,168,1200
"Похлебка грибная, 1 кг",510,202
"Похлебка грибная, 270 грамм",168,60
Профитроли «Бородинские» с сельдью,210,350
Профитроли с паштетом из куриной печени,198,280
Профитроли с творожным сыром и грибами,248,350
Рагу из индейки в томатном соусе с пюре,238,480
Рамен с курицей в соево-чесночном соусе,310,408
"Расстегаи с лососем и палтусом, 120 г (2 шт)",175,210
Рис «По-тайски»,206,1020
Рис азиатский с креветками аргентинскими и овощами,250,550
Рис басмати,138,120
Рис с куриной бризолью,258,1240
Розанчики творожно-сливочные с мандарином и корицей с наполнителем «Персик»,198,300
Розанчики творожно-сливочные с топпингом «Манго и Маракуйя»,228,241
Ролл «Симфония» с крабовыми палочками,228,756
Ролл «Симфония» с креветкой,330,2558
Ролл «Симфония» с семгой,330,1626
Ролл «Филадельфия» с форелью,540,384
Ролл нори с лососем и томатами,246,424
Ролл с креветкой и огурцом,290,1458
Ролл с креветкой и семгой,420,1423
Ролл с лососем,420,334
Ролл с огурцом,230,840
Ролл Филадельфия,550,716
Роллы «Филадельфия с угрем»,540,110
Роллы с филе радужной форели и омлетом,448,20
Рулетики из баклажанов с сырной начинкой,198,1380
"Рулетики из баклажанов с сырной начинкой, 8 шт",398,220
Рулетики из ветчины с сырной начинкой,278,1380
"Рулетики из ветчины с сырной начинкой, 360 г",740,60
"Салат «Винегрет», 600 г",320,806
Салат «Витаминный» с лимонной заправкой,155,3462
"Салат «Витаминный» с лимонной заправкой, 500 г",340,202
"Салат «Гнездо глухаря» с копченой курицей, 500 г",680,160
Салат «Гранатовый браслет»,188,962
Салат «Греческий»,292,120
Салат «Грин Энерджи»,188,1220
Салат «Кальмаровый»,258,680
Салат «Коул Слоу» из овощей,148,990
Салат «Крабовый»,218,1972
"Салат «Мимоза», 180 г",188,3324
"Салат «Мимоза», 180 грамм",188,400
"Салат «Нисуаз», 200 г",328,562
Салат «Норвежский» с лососем,268,980
Салат «Оливье вегетарианский»,208,550
"Салат «Оливье» с говядиной, 600 г",890,200
Салат «Оливье» с говяжьими щечками,238,194
Салат «Оливье» с колбасой,168,1021
"Салат «Оливье» с колбасой, 200 грамм",166,360
"Салат «Оливье» с креветками и красной икрой, 500 г",788,150
"Салат «Оливье» с уткой, каперсами и перепелиными яйцами",298,380
"Салат «Оливье», 150 г",155,2960
Салат «Разгрузочный»,168,692
"Салат «Сельдь под шубой», 180 г",168,3901
"Салат «Сельдь под шубой», 180 грамм",168,592
Салат «Филадельфия»,252,2050
Салат «Царская Охота»,220,728
Салат «Цезарь»,284,3350
Салат «Цезарь» с курицей и пекинской капустой,230,3020
"Салат «Цезарь» с курицей, 450 г",590,382
Салат «Цезарь» с тигровыми креветками и гренками из багета,488,270
Салат Винегрет без картофеля,116,2684
Салат винегрет с квашеной капустой,150,978
Салат винегрет с маринованной капустой,130,3216
Салат винегрет с опятами,190,320
"Салат из баклажанов и моркови по-корейски, 200 г",150,351
"Салат из кальмаров с яйцом, 160 г",298,1140
Салат из моркови и свеклы по-корейски,118,223
Салат из моркови с сыром,130,420
Салат из свеклы с черносливом и грецкими орехами,118,1940
Салат Кобб с имбирным соусом,258,682
"Салат мимоза с семгой горячего копчения, 300 г",410,326
"Салат мимоза, 300 г",288,860
"Салат оливье с колбасой, 600 г",520,420
"Салат оливье, 300 г",288,1296
Салат охлажденный «Кабачки с морковью по-корейски»,116,222
Салат по-гречески с сыром «Фета»,328,330
Салат с баклажаном и сыром «Фета»,220,80
Салат с камчатским крабом и свежим огурцом,468,180
Салат с капустой белокочанной по-корейски,108,570
"Салат с курицей и ананасами, 180 г",196,1846
Салат с курицей и апельсиновой заправкой,256,680
Салат с курицей и жареными шампиньонами,188,1544
"Салат с курицей и жареными шампиньонами, 180 грамм",188,320
"Салат с курицей, ананасами и сельдереем",188,842
"Салат с курицей, ананасами и сельдереем, 300 г",368,740
"Салат с курицей, сыром «Фета» и виноградом",238,484
Салат с мясом индейки и гранатовым соусом,270,240
"Салат с пастрами из индейки, помело и тропическим соусом",348,400
Салат с ростбифом и моцареллой с соусом из томатов,388,280
"Салат с рукколой и моцареллой, 150 г",276,392
"Салат с тунцом, фасолью и яблоком",216,1226
Салат свекольный с грецким орехом,156,2078
"Салат свекольный с грецким орехом, 200 грамм",156,440
"Салат сельдь под шубой, 300 г",258,3708
"Салат сельдь под шубой, 600 г",520,500
Салат фасолевый с шампиньонами и грецким орехом,190,866
"Самса с курицей, 120 г",188,352
Солянка из семги и форели,228,690
Солянка мясная с копченостями и каперсами,288,470
Сосиска в слоеном тесте с сыром и горчицей,173,270
"Сосиска в тесте (свинина, говядина), 2 шт.",185,900
Сосиски куриные с картофельным пюре,208,738
"Спагетти «Болоньезе», 260 грамм",208,240
